,spotify_id,album,artist,tracks,artist_gender,artist_age,release_date,artist_country,popularity,rating
231,06wtf2TCkmyTgS1yZGiSr5,sinner get ready ,lingua ignota,9,Female,35,06/08/2021,US,36,10
285,5Dqqrr1dhaZ3BcFthVUCj2,the turning wheel ,spellling,12,Female,30,25/06/2021,,38,10
793,2lIZef4lzdvZkiiCzvPKj7,brat ,charli xcx,15,Female,31,07/06/2024,,88,10
39,0b1q9se93BEqBl3kiltn33,visions of bodies being burned ,clipping.,16,Group,,23/10/2020,,44,9
44,1CTm3ARqDETSm7GfvNYNJp,what's your pleasure? ,jessie ware,12,Female,35,26/06/2020,GB,54,9
50,7nfwkopbo47FZIOGNcfPxI,song for our daughter ,laura marling,10,Female,30,10/04/2020,GB,45,9
68,0LxeUCxtPfUtnHTKbW52MB,windswept adan ,ichiko aoba,14,Female,50,02/12/2020,JP,58,9
85,7J3XAN9vV4smAoiz1TQwHB,miles ,blu & exile,20,Group,,17/07/2020,US,32,9
130,5oZ5YCtaBH4L4Q2rrQpdvg,peaceful as hell ,black dresses,15,Group,,13/04/2020,GB,35,9
202,36nDwdvBHoJMIZn0wzYWrD,last year was weird vol.,tkay maidza,8,Female,24,07/08/2020,,45,9
230,4inXqcdjG79gV4m2mU8dQh,lp! ,jpegmafia,18,Male,32,22/10/2021,US,54,9
234,7L7oMPboBCeyGLJVsHSWM2,by the time i get to phoenix ,injury reserve,11,Group,,15/09/2021,US,41,9
246,3ShtO5VCYa3ctlR5uzLWBa,promises ,"floating points, pharoah sanders & the lso",9,Male,80,26/03/2021,US,39,9
261,2dIGnmEIy1WZIcZCFSj6i8,plastic beach ,gorillaz,16,Group,,03/03/2010,,76,9
273,6X4ALVBUeQnMHR5tsK8ymx,henki ,richard dawson & circle,7,Male,208,26/11/2021,DE,18,9
333,654KFpNOZ26Hj9luu7aKeM,daddy's home ,st. vincent,14,Female,38,14/05/2021,US,45,9
415,68z6MWYYNmvTcru1QMcYId,hellfire ,black midi,10,Group,,15/07/2022,GB,45,9
423,4rJDCELWL0fjdmN9Gn4f4g,the forever story ,j.i.d,16,Male,32,31/10/2022,US,76,9
428,21xp7NdU1ajmO1CX0w2Egd,ants from up there ,"black country, new road",10,Group,,04/02/2022,,56,9
434,7Ln81p86r5cCsesd3KBWIY,dragon new warm mountain i believe in you ,big thief,20,Group,,11/02/2022,,62,9
439,2IC2TP7bnwkfl56vjabLQt,cave world ,viagra boys,12,Group,,08/07/2022,US,54,9
455,2yFxLI1tMhzY04Oz67WoPr,hostile architecture ,ashenspire,8,Group,,15/07/2022,,24,9
488,4BJoDX0fIjR4RsFF4vyd81,de todas las flores ,natalia lafourcade,12,Female,38,28/10/2022,MX,60,9
503,2ZYhM0LXHZ38te98EizcQW,diaspora problems ,soul glo,12,Group,,25/03/2022,US,39,9
522,0Y1tsEnH5gN8TEJRQ9xOLi,marchita ,silvana estrada,11,Female,24,21/01/2022,MX,38,9
526,4w1BBgCcUVv54r3zJenKpG,god don't make mistakes ,conway the machine,12,Group,,25/02/2022,US,43,9
